GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
284738536,20130205,201302,2013,2013.0959,ESP,SPAIN,ESP,,,,,,,,,,,,,,,,,,1,043,043,04,1,2.8,8,1,8,0.443458980044346,4,"Melilla, Spain (general), Spain",SP,SP00,35.2839,-2.94307,-391809,0,,,,,,,4,"Melilla, Spain (general), Spain",SP,SP00,35.2839,-2.94307,-391809,20140205,http://elpais.com/elpais/2014/02/05/inenglish/1391602311_961152.html
285432728,20130211,201302,2013,2013.1123,ESP,SPAIN,ESP,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,042,042,04,1,1.9,1,1,1,1.38169257340242,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,1,United Kingdom,UK,UK,54,-2,UK,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,20140211,http://news.gnom.es/business/ono-board-weighs-vodafone-offer-against-stock-market-plan
285432729,20130211,201302,2013,2013.1123,ESP,SPAIN,ESP,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,124,124,12,3,-4,1,1,1,1.38169257340242,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72,-571850,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72,-571850,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72,-571850,20140211,http://news.gnom.es/business/ono-board-weighs-vodafone-offer-against-stock-market-plan
285432807,20130211,201302,2013,2013.1123,GBR,UNITED KINGDOM,GBR,,,,,,,,ESP,SPAIN,ESP,,,,,,,,0,043,043,04,1,2.8,1,1,1,1.38169257340242,1,United Kingdom,UK,UK,54,-2,UK,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,20140211,http://news.gnom.es/business/ono-board-weighs-vodafone-offer-against-stock-market-plan
286786831,20130221,201302,2013,2013.1397,GBR,BRITAIN,GBR,,,,,,,,ESPGOV,SPANISH,ESP,,,,,GOV,,,1,114,114,11,3,-2,6,1,6,2.0460358056266,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,20140221,http://www.theolivepress.es/spain-news/2014/02/21/spanish-warship-disrupts-british-navy-training-exercise-in-gibraltar/
286786830,20130221,201302,2013,2013.1397,GBR,BRITAIN,GBR,,,,,,,,ESP,SPANISH,ESP,,,,,,,,1,114,114,11,3,-2,2,1,2,2.0460358056266,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,20140221,http://www.theolivepress.es/spain-news/2014/02/21/spanish-warship-disrupts-british-navy-training-exercise-in-gibraltar/
285298015,20130210,201302,2013,2013.1096,ESPCOP,SPAIN,ESP,,,,,COP,,,GBR,BRITISH,GBR,,,,,,,,0,173,173,17,4,-5,1,1,1,1.39275766016713,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140210,http://www.theolivepress.es/spain-news/2014/02/10/spanish-police-on-the-hunt-for-british-fugitives/
285298016,20130210,201302,2013,2013.1096,ESPCOP,SPAIN,ESP,,,,,COP,,,GBR,BRITISH,GBR,,,,,,,,0,173,173,17,4,-5,1,1,1,1.39275766016713,1,Spain,SP,SP,40,-4,SP,1,United Kingdom,UK,UK,54,-2,UK,1,Spain,SP,SP,40,-4,SP,20140210,http://www.theolivepress.es/spain-news/2014/02/10/spanish-police-on-the-hunt-for-british-fugitives/
285298018,20130210,201302,2013,2013.1096,ESPCOP,SPANISH,ESP,,,,,COP,,,GBRGOV,BRITISH,GBR,,,,,GOV,,,0,173,173,17,4,-5,6,1,6,1.39275766016713,1,Spain,SP,SP,40,-4,SP,1,United Kingdom,UK,UK,54,-2,UK,1,Spain,SP,SP,40,-4,SP,20140210,http://www.theolivepress.es/spain-news/2014/02/10/spanish-police-on-the-hunt-for-british-fugitives/
286786756,20130221,201302,2013,2013.1397,ESP,SPANISH,ESP,,,,,,,,USA,PENNSYLVANIA,USA,,,,,,,,1,061,061,06,2,6.4,1,1,1,1.61812297734628,1,United States,US,US,38,-97,US,1,United States,US,US,38,-97,US,1,United States,US,US,38,-97,US,20140221,http://elpais.com/elpais/2014/02/21/inenglish/1392988834_557560.html
286786755,20130221,201302,2013,2013.1397,ESP,SPANISH,ESP,,,,,,,,USA,PENNSYLVANIA,USA,,,,,,,,1,061,061,06,2,6.4,4,1,4,1.61812297734628,1,United States,US,US,38,-97,US,1,Spain,SP,SP,40,-4,SP,1,United States,US,US,38,-97,US,20140221,http://elpais.com/elpais/2014/02/21/inenglish/1392988834_557560.html
284737915,20130205,201302,2013,2013.0959,,,,,,,,,,,ESP,SPAIN,ESP,,,,,,,,1,042,042,04,1,1.9,8,1,8,0.443458980044346,0,,,,,,,4,"Melilla, Spain (general), Spain",SP,SP00,35.2839,-2.94307,-391809,4,"Melilla, Spain (general), Spain",SP,SP00,35.2839,-2.94307,-391809,20140205,http://elpais.com/elpais/2014/02/05/inenglish/1391602311_961152.html
289301906,20130313,201303,2013,2013.2,ESP,SPAIN,ESP,,,,,,,,EUR,EUROPEAN,EUR,,,,,,,,0,070,070,07,2,7,16,1,16,1.59235668789809,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
289301908,20130313,201303,2013,2013.2,ESP,SPAIN,ESP,,,,,,,,IGOEUREEC,EUROPEAN COMMISSION,EUR,EEC,,,,IGO,,,0,020,020,02,1,3,12,1,12,1.59235668789809,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
289301909,20130313,201303,2013,2013.2,ESP,SPAIN,ESP,,,,,,,,IGOEUREEC,EUROPEAN COMMISSION,EUR,EEC,,,,IGO,,,0,020,020,02,1,3,4,1,4,1.59235668789809,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
289301913,20130313,201303,2013,2013.2,EUR,EUROPEAN,EUR,,,,,,,,ESP,SPAIN,ESP,,,,,,,,0,043,043,04,1,2.8,4,1,4,1.59235668789809,1,Spain,SP,SP,40,-4,SP,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
291573588,20130331,201303,2013,2013.2493,ESP,SPANIARD,ESP,,,,,,,,BEL,BELGIUM,BEL,,,,,,,,1,174,174,17,4,-5,4,1,4,3.40314136125654,1,United Kingdom,UK,UK,54,-2,UK,1,United Kingdom,UK,UK,54,-2,UK,1,United Kingdom,UK,UK,54,-2,UK,20140331,http://www.thelocal.es/20140331/jobless-spaniards-to-be-kicked-out-of-germany
291573587,20130331,201303,2013,2013.2493,ESP,SPANIARD,ESP,,,,,,,,BEL,BELGIUM,BEL,,,,,,,,1,174,174,17,4,-5,16,1,16,3.40314136125654,1,Spain,SP,SP,40,-4,SP,1,Belgium,BE,BE,50.8333,4,BE,1,Belgium,BE,BE,50.8333,4,BE,20140331,http://www.thelocal.es/20140331/jobless-spaniards-to-be-kicked-out-of-germany
291270032,20130328,201303,2013,2013.2411,ESP,SPANISH,ESP,,,,,,,,NGOCHRCTH,CARITAS,,,,CHR,CTH,NGO,,,1,012,012,01,1,-0.4,20,2,20,1.78495762711864,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140328,http://www.thelocal.es/20140328/spain-only-second-to-romania-in-eu-child-poverty
289301907,20130313,201303,2013,2013.2,ESP,SPAIN,ESP,,,,,,,,IGOEUREEC,EUROPEAN COMMISSION,EUR,EEC,,,,IGO,,,0,020,020,02,1,3,4,1,4,1.59235668789809,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
